,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
286,239950.0,2 bedroom apartment for sale,"The Wentwood, Newton Street, Manchester, Greater Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-75462194.html,http://www.rightmove.co.uk/estate-agents/agent/JLL/Manchester-10733.html,M1,2,2019-02-12 13:46:51.052714
287,,1 bedroom apartment for sale,"Ancoats, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75419855.html,http://www.rightmove.co.uk/estate-agents/agent/Surrenden-Invest/London-149897.html,,1,2019-02-12 13:46:51.052714
288,238000.0,2 bedroom apartment for sale,"City South, 39 City Road East, Southern Gateway",http://www.rightmove.co.uk/property-for-sale/property-76122206.html,http://www.rightmove.co.uk/estate-agents/agent/Goodwin-Fish/Manchester-75005.html,,2,2019-02-12 13:46:51.052714
289,238000.0,2 bedroom apartment for sale,"Pollard Street, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-79308752.html,http://www.rightmove.co.uk/estate-agents/agent/Flambard-Williams-Limited/Chelmsford-58290.html,M4,2,2019-02-12 13:46:51.052714
290,237648.0,1 bedroom apartment for sale,"Store Street,
Manchester,
M1",http://www.rightmove.co.uk/property-for-sale/property-77831573.html,http://www.rightmove.co.uk/developer/branch/Alliance-Investments/Oxygen-160442.html,M1,1,2019-02-12 13:46:51.052714
291,236740.0,1 bedroom apartment for sale,"Store Street,
Manchester,
M1",http://www.rightmove.co.uk/property-for-sale/property-77831576.html,http://www.rightmove.co.uk/developer/branch/Alliance-Investments/Oxygen-160442.html,M1,1,2019-02-12 13:46:51.052714
292,236042.0,1 bedroom penthouse for sale,"Coupland Street,
Hulme,
Manchester,
M15",http://www.rightmove.co.uk/property-for-sale/property-78757142.html,http://www.rightmove.co.uk/developer/branch/Salboy-International-Limited/Burlington-Square-201668.html,M15,1,2019-02-12 13:46:51.052714
293,236000.0,1 bedroom flat for sale,"Oxygen Tower, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-68546005.html,http://www.rightmove.co.uk/estate-agents/agent/Fraser-and-Co/New-Homes-99253.html,M1,1,2019-02-12 13:46:51.052714
294,235062.0,1 bedroom apartment for sale,"Exchange Point, Chapel Street, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-71343623.html,http://www.rightmove.co.uk/estate-agents/agent/Cushman-and-Wakefield/Manchester-182387.html,M3,1,2019-02-12 13:46:51.052714
295,235000.0,2 bedroom flat for sale,"1 Blantyre Street, Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-78628778.html,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Manchester-15260.html,M15,2,2019-02-12 13:46:51.052714
